,Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,ODI_NO
63,107,107,93,115.05,9,1, England,Cardiff,16 Sep 2011,ODI # 3195
64,37,37,63,58.73,0,0, England,Hyderabad,14 Oct 2011,ODI # 3199
65,112*,112,98,114.28,16,0, England,Delhi,17 Oct 2011,ODI # 3201
66,35,35,30,116.66,5,0, England,Mohali,20 Oct 2011,ODI # 3205
67,86*,86,99,86.86,11,0, England,Wankhede,23 Oct 2011,ODI # 3207
68,0,0,5,0.0,0,0, England,Eden Gardens,25 Oct 2011,ODI # 3210
69,3,3,6,50.0,0,0, West Indies,Cuttack,29 Nov 2011,ODI # 3217
70,117,117,123,95.12,14,0, West Indies,Visakhapatnam,2 Dec 2011,ODI # 3219
71,20,20,30,66.66,3,0, West Indies,Ahmedabad,5 Dec 2011,ODI # 3221
72,23*,23,11,209.09,3,0, West Indies,Indore,8 Dec 2011,ODI # 3223
73,80,80,85,94.11,5,0, West Indies,Chennai,11 Dec 2011,ODI # 3224
74,31,31,34,91.17,3,0, Australia,Melbourne,5 Feb 2012,ODI # 3231
75,77,77,94,81.91,8,1, Sri Lanka,Perth,8 Feb 2012,ODI # 3233
76,18,18,28,64.28,1,0, Australia,Adelaide,12 Feb 2012,ODI # 3237
77,15,15,25,60.0,1,0, Sri Lanka,Adelaide,14 Feb 2012,ODI # 3239
78,12,12,25,48.0,0,0, Australia,Brisbane,19 Feb 2012,ODI # 3244
79,66,66,83,79.51,2,0, Sri Lanka,Brisbane,21 Feb 2012,ODI # 3246
80,21,21,27,77.77,2,0, Australia,Sydney,26 Feb 2012,ODI # 3250
81,133*,133,86,154.65,16,2, Sri Lanka,Hobart,28 Feb 2012,ODI # 3251
82,108,108,120,90.0,7,0, Sri Lanka,Mirpur,13 Mar 2012,ODI # 3259
83,66,66,82,80.48,5,0, Bangladesh,Mirpur,16 Mar 2012,ODI # 3261
84,183,183,148,123.64,22,1, Pakistan,Mirpur,18 Mar 2012,ODI # 3263
85,106,106,113,93.8,9,0, Sri Lanka,Hambantota,21 Jul 2012,ODI # 3291
86,1,1,5,20.0,0,0, Sri Lanka,Hambantota,24 Jul 2012,ODI # 3292
87,38,38,65,58.46,2,0, Sri Lanka,Colombo (RPS),28 Jul 2012,ODI # 3293
88,128*,128,119,107.56,12,1, Sri Lanka,Colombo (RPS),31 Jul 2012,ODI # 3294
89,23,23,35,65.71,2,0, Sri Lanka,Pallekele,4 Aug 2012,ODI # 3295
90,0,0,5,0.0,0,0, Pakistan,Chennai,30 Dec 2012,ODI # 3314
91,6,6,9,66.66,1,0, Pakistan,Eden Gardens,3 Jan 2013,ODI # 3315
92,7,7,17,41.17,1,0, Pakistan,Delhi,6 Jan 2013,ODI # 3316
93,15,15,22,68.18,1,0, England,Rajkot,11 Jan 2013,ODI # 3318
94,37,37,54,68.51,1,1, England,Kochi,15 Jan 2013,ODI # 3320
95,77*,77,79,97.46,9,2, England,Ranchi,19 Jan 2013,ODI # 3322
96,26,26,33,78.78,3,0, England,Mohali,23 Jan 2013,ODI # 3327
97,0,0,1,0.0,0,0, England,Dharamsala,27 Jan 2013,ODI # 3329
98,31,31,41,75.6,2,0, South Africa,Cardiff,6 Jun 2013,ODI # 3363
99,22,22,18,122.22,4,0, West Indies,The Oval,11 Jun 2013,ODI # 3368
100,22*,22,27,81.48,3,0, Pakistan,Birmingham,15 Jun 2013,ODI # 3372
101,58*,58,64,90.62,4,1, Sri Lanka,Cardiff,20 Jun 2013,ODI # 3376
102,43,43,34,126.47,4,1, England,Birmingham,23 Jun 2013,ODI # 3377
103,11,11,21,52.38,0,1, West Indies,Kingston,30 Jun 2013,ODI # 3380
104,2,2,5,40.0,0,0, Sri Lanka,Kingston,2 Jul 2013,ODI # 3382
105,102,102,83,122.89,13,2, West Indies,Port of Spain,5 Jul 2013,ODI # 3383
106,31,31,52,59.61,4,0, Sri Lanka,Port of Spain,9 Jul 2013,ODI # 3387
107,2,2,5,40.0,0,0, Sri Lanka,Port of Spain,11 Jul 2013,ODI # 3388
108,115,115,108,106.48,13,1, Zimbabwe,Harare,24 Jul 2013,ODI # 3395
109,14,14,18,77.77,2,0, Zimbabwe,Harare,26 Jul 2013,ODI # 3397
110,68*,68,88,77.27,5,1, Zimbabwe,Harare,28 Jul 2013,ODI # 3399
111,DNB,0,0,0.0,-,-, Zimbabwe,Bulawayo,1 Aug 2013,ODI # 3402
112,DNB,0,0,0.0,-,-, Zimbabwe,Bulawayo,3 Aug 2013,ODI # 3403
113,61,61,85,71.76,6,0, Australia,Pune,13 Oct 2013,ODI # 3419
114,100*,100,52,192.3,8,7, Australia,Jaipur,16 Oct 2013,ODI # 3420
115,68,68,73,93.15,9,0, Australia,Mohali,19 Oct 2013,ODI # 3421
116,DNB,0,0,0.0,-,-, Australia,Ranchi,23 Oct 2013,ODI # 3422
117,115*,115,66,174.24,18,1, Australia,Nagpur,30 Oct 2013,ODI # 3424
118,0,0,3,0.0,0,0, Australia,Bengaluru,2 Nov 2013,ODI # 3428
119,86,86,84,102.38,9,2, West Indies,Kochi,21 Nov 2013,ODI # 3436
120,99,99,100,99.0,9,0, West Indies,Visakhapatnam,24 Nov 2013,ODI # 3437
121,19,19,18,105.55,3,0, West Indies,Kanpur,27 Nov 2013,ODI # 3439
122,31,31,35,88.57,5,0, South Africa,Johannesburg,5 Dec 2013,ODI # 3442
123,0,0,5,0.0,0,0, South Africa,Durban,8 Dec 2013,ODI # 3443
124,TDNB,0,0,0.0,-,-, South Africa,Centurion,11 Dec 2013,ODI # 3444
125,123,123,111,110.81,11,2, New Zealand,Napier,19 Jan 2014,ODI # 3456
126,78,78,65,120.0,7,2, New Zealand,Hamilton,22 Jan 2014,ODI # 3458
